id,name,streeteasy-url,location,description,"
the mood",heart of the neighborhood,neighborhood quirk,best park,biggest downside,housing,more
10,Harlem,https://streeteasy.com/neighborhoods/harlem/,"Harlem has a vibrant and influential history as the start of the civil rights movement and an incubator of American jazz and black literature. The area famous for its elegant brownstones is also known for its restaurant row and yearly dining event, Harlem EatUp!","Harlem begins directly above Central Park, where you will find busy thoroughfares adjacent to quiet tree-lined blocks lined with brownstones and pre-war apartment buildings.",Expect a mix of busy street life combined with tranquil side streets.,"125th Street is vibrant, if hectic strip, that boasts the famous Apollo Theater as well as plenty of shopping outlets including Gap Factory and Banana Republic Factory Store.","Amateur Night at the Apollo is an institution and has helped launch the careers of many performers including The Jackson 5, Aretha Franklin, and Lauryn Hill among others.","Fredrick Douglas Blvd is also known as Harlem's restaurant row, an uptown dining destination for a broad range of tastes.","Harlem has beautiful brownstones and prewar buildings, but many apartments can be bare bones and in need of repair.","Harlem is one of Manhattan's more affordable areas, but rents and sale prices are increasing at a faster clip.","The Apollo is a neighborhood institution, known for booking James Brown, Smokey Robinson, The Temptations and Ella Fitzgerald before they were superstars.In Harlem, it's common to see beautiful historic architecture as the case with Astor Row, described as being the most elegant block.Sylvia's has been the place for authentic Southern soul food in Harlem since 1962.Compared to the rest of the city, brownstones in Harlem are reasonably priced. Also, the rents are relatively affordable.There is a lot of unexpected green space to counteract the urbanity of Harlem. Central Park, Marcus Garvey Park, and Morningside Park are important centers of the community."
11,Hell's Kitchen,,,,,,,,,,
12,Inwood,https://streeteasy.com/neighborhoods/inwood/,"As far north as you can get in Manhattan, Inwood is unlike any other neighborhood in the borough. Equal parts bucolic and urban, Inwood offers residents amazing river views and tons of green space as well as low housing costs and relatively fast commutes to Midtown.","With unadulterated, natural views and incredibly hilly topography, Inwood feels very different than the rest of Manhattan. And yet, Inwood is still very much a classic Upper Manhattan neighborhood with a small-town feel.  Along Dyckman, you'll find plenty of mom and pop eateries side-by-side with unpretentious wine bars and restaurants. While it is far from the heart of Midtown, residents enjoy relatively short commutes to Midtown via the A train or the 1 train. The area offers a mix of single-family homes, co-ops and rentals in large apartment buildings. Across the board, Inwood has some of the most affordable housing costs in the city.","Inwood is a residential neighborhood with a vibrant vibe, especially along Broadway.","Inwood Hill Park offers rare access to the Hudson River waterfront, natural growth forests, and surprisingly hilly terrain.","Given its hilly topography, pedestrians connect to its many streets via stairways.",The views. Inwood Park offers spectacular views of the Hudson River and the Palisades.,Expect lots of car and truck traffic on the central thoroughfares.,,"Inwood offers direct access to three main bodies of water: the Harlem River, the Spuyten Duyvil Creek, and the Hudson River.Housing stock varies in Inwood. Many affordable rentals are offered in large apartment buildings as well as generously proportioned co-ops in prewar buildings.Most people move to Inwood for the affordable cost of living, but find themselves staying for the high quality of life and sense of open space.The pace of life in Inwood changes from block to block. Busy commercial avenues give way to familiar residential streets. Head to Inwood Hill Park and you'll find some of the city's most peaceful pockets."
13,Kips Bay,,,,,,,,,,
14,Little Italy,,,,,,,,,,
15,Lower East Side,https://streeteasy.com/neighborhoods/lower-east-side/,The Lower East Side is an authentic New York City neighborhood in the realest sense. There is nothing polished or polite about it and its chaotic energy appeals to anyone who thrives on late nights and a live-and-let-live lifestyle.,"The narrow streets of the Lower East Side were once lined with tenement buildings, shirt factories and bialy shops. Although a few vestiges of the neighborhood's immigrant heritage remain, many of the tenement buildings have been updated and now offer relatively affordable rental options to young New Yorkers looking to live right in the thick of Downtown Manhattan. There's no getting around it - the LES is a major nightlife destination. In this part of the city, last call is late and often negotiable -- especially if you're a regular. On weekend nights, the neighborhood is packed as crowds overflow from the local bars and take to the streets in search of a late-night falafel fix before heading onto the next party. During the day, the neighborhood chills out as residents nurse their hangovers or head to work slowly after stopping at one of the area's many trendy juice bars or coffee shops.","Eclectic, noisy and both edgy and irreverent, the Lower East Side mixes highbrow and lowbrow.","Once a bodega, Arlene's Grocery is a dive bar and music venue that's come to define the Lower East Side's nightlife scene.","The LES is one of the city's oldest neighborhoods and has been home to many different groups of immigrants including Eastern European Jews and later many Latinos who dubbed the area ""Loisaida.""","The Lower East Side is truly a 24/7 kind of place. Whether you're looking for a last-minute concert, a nightcap or a slice of pizza for breakfast - the LES has you covered.",The Lower East Side is not a place to go for beautiful tree-lined blocks as the area severely lacks in green space.,"Housing stock in the LES is primarily comprised of tenement-style apartment buildings. As such, the properties tend to be walk-ups with unique, if outdated, layouts. Prices for these types of units were once on par with their quality, but the neighborhood has grown increasingly expensive.","Although artsy pop-up shops and galleries now fill the storefronts, the LES was once predominantly a neighborhood of immigrants with many businesses catering to Jewish and Puerto Rican residents.The Lower East Side has a street style all its own, embracing anything bold, original and unorthodox.For those looking for a conventional neighborhood, the LES is not it. It's gritty and dirty with a rough-around-the-edges beauty to its rusting fire escapes and pulsing street life.The LES is full of surprises and incongruities. Trendy sandwich shops stand next to traditional cobblers and hosieries and there are several historic shops still open on Orchard Street.Although it's always a busy neighborhood, the LES really comes to life after the sun goes down when young people pour in from all over the city."
16,Marble Hill,,,,,,,,,,
17,Midtown,https://streeteasy.com/neighborhoods/midtown/,"Midtown is the tall, busy, beating heart of Manhattan. During the day, its sidewalks and subway stations bustle with office workers and tourists. At night, Times Square, the Theater District, and the restaurant and nightlife hubs here thrum with energy, while other areas empty out.","If you're looking for a neighborhood with tree-lined streets and quaint coffee shops, Midtown isn't it. The neighborhood is more of a center for business than a residential community, but it puts everything close at hand for those who dwell here. Skyscrapers rise above congested streets, tourists flock to Broadway shows and Times Square, and thousands of commuters pass through Grand Central Terminal, Pennsylvania Station, and the Port Authority Bus Terminal every day. The real estate options in Midtown can be diverse; surprisingly affordable apartments can be found alongside some of the city’s most expensive properties. The headquarters of many global corporations line Sixth Avenue, while Fifth Avenue is an upscale retail destination with stores from some of the world's best-known brands.","Midtown is truly in the thick of it all. Everyone has somewhere to go, and there's not much interest in slowing down. That's what happens when a neighborhood is a global center of business, media, and entertainment.",Grand Central Terminal is an essential transportation hub and a surprisingly diverse shopping center. Its grand architecture and starry mural help quell the commuter chaos.,"The iconic statue outside Rockefeller Center is actually a misrepresentation. According to Greek myth, Atlas held up the heavens, not the Earth!","Midtown offers direct access to a huge shopping district, world-class museums, and dozens of theaters and entertainment venues. If you want it, it's here.","All of the excitement comes with traffic, crowds, and noise — and since this is New York, they happen 24 hours a day.","Although there are some affordable older buildings, Midtown is famous for its luxury high-rises. Prices at buildings like One57 and 432 Park Avenue start in the millions and go about as high as you can imagine.","Sidewalks lined with vendors, crowded streets and towering skyscrapers are staples of Midtown. Thousands of commuters pass through Grand Central Terminal every day.Although parts of Midtown empty out at night as office workers head home, there is always activity in Times Square, and the neighborhood offers tons of nightlife options.Rockefeller Center is best known for its giant Christmas tree, but the place is packed year-round with tourists trying to catch a taping of 'Saturday Night Live' or the 'Today' show.Midtown is New York City's largest central business district, but now the neighborhood also boasts some of the city's most expensive real estate.Tourists flock to Midtown to see the Empire State Building, Grand Central, the grand stores on Fifth Avenue, and the southern end of Central Park."
18,Morningside Heights,https://streeteasy.com/neighborhoods/morningside-heights/,"Sandwiched between the northern tip of Central Park, 125th Street, and Riverside Park, is Morningside Heights, a neighborhood that blends a small-town feel with classic New York City sensibilities.","In many ways, Morningside Heights reminds of Park Slope or the nearby Upper West Side, especially in its ample green space, shady streets, and laid-back, homey feel. What sets Morningside Heights apart, however, is the number of colleges and universities in and near the area.","Energetic and lively, Morningside Heights is defined by its many cultural and educational establishments including The Cathedral Church of St. John the Divine and Columbia University.",,"Three peacocks: Jim, Harry, and Phil. They live on the 13-acre grounds surrounding St. John's.","From concerts at Miller Theatre to readings at Book Culture and roundtables at Union Theological Seminary, there's tons of stimulation for the mind here.",The area does not have an express subway stop.,"Morningside Heights' housing stock is primarily located in large, prewar apartment buildings. Co-ops along Riverside Drive can be large and quite expensive.","Morningside Heights has a wonderful street life. Broadway is filled with local shops, and Riverside Park is often filled with joggers and cyclists.The neighborhood features a diversity of architecture. Amid Morningside Heights' classic prewar apartment buildings are McKim, Mead and White's Columbia's campus and the neo-gothic stylings of Cathedral of Saint John the Divine.Morningside Heights has an authentic bohemian and literary spirit that can easily be found in its many cafes and bookshops.A true New York City neighborhood steeped in local culture and lore, Morningside Heights features the original facade of the famous Seinfeld diner."
19,Murray Hill,https://streeteasy.com/neighborhoods/murray-hill/,"Located within walking distance to Grand Central Terminal, Murray Hill is popular with professionals looking for an easy commute and affordable rent. With tons of pubs, the neighborhood's fun-loving vibe is hard to miss.","Murray Hill has a lively energy most hours of the day and night. In the morning, the streets are filled with professionals looking polished in their Brooks Brothers suits as they head to work. Come evening, you'll see the crowds returning home decked out in gym clothes and schlepping bags of take-out dinner and Trader Joe's. The neighborhood has a down-to-earth, casual vibe, and there's always a big game airing at one of the many sports bars along the Third Avenue strip. Many of Murray Hill's residents are renters who come and go, but the place eschews intransigence and maintains a familiar, college-town feel. ","Murray Hill is dense in pubs, but light on culture, and vacillates between being inoffensively rowdy and slightly vanilla.","Joshua Tree bar, an old standby on Third Avenue that is the neighborhood's de facto clubhouse, doesn’t disappoint for those looking for a strong happy hour crowd.","An unexpected architectural gem amid the high rises, Sniffen Court is a small mews off of 36th Street made up of 10 beautifully preserved carriage houses.","Murray Hill is on a 24/7 schedule: You can find nail salons, dry-cleaners, gyms, and delivery places that are open at all hours of the day.","Murray Hill lacks a sense of real local flavor: Though there are many many upbeat bars and restaurants, they tend to feel generic.","For renters and buyers looking for a central Manhattan neighborhood with plenty of amenities, Murray Hill is often a good alternative to pricier places like Chelsea or the West Village.","Businesses in Murray Hill offer daily happy hours, discounted laundry services, and 24-hour restaurants.Murray Hill is centrally located in between Midtown and Union Square. Its proximity to Grand Central makes it perfect for reverse commuters.Murray Hill is somewhat homogenous in its residents. If you're looking for an artistic and diverse neighborhood, this is not it.There are pockets of historic architecture, but most apartment buildings are either small walk-ups on the side streets or huge towers on the major cross streets.Like sports bars? Then you'll like Murray Hill. Its residents work hard during the day, but come Thursday night, they like to let loose."
20,NoHo,,,,,,,,,,
21,Nolita,,,,,,,,,,
22,Roosevelt Island,https://streeteasy.com/neighborhoods/roosevelt-island/,"Connected to Manhattan by an iconic tram and one subway line, this narrow island is unlike any other neighborhood in the city. Locals love Roosevelt Island’s quiet charm and quixotic character.","Roosevelt Island is an anomaly among New York City neighborhoods, and that's exactly its charm. It's centrally located and isolated at the same time. The buildings themselves are architecturally homogenous, but residents hail from all countries and backgrounds. The island is just a stone's throw from the throngs of 57th Street but has just one commercial strip. And though it has changed over time, it has always felt outside the orbit of normal city life. Throughout the 19th century, the island was principally occupied by hospitals. In the 1970s, it became a testing ground for new urban ideals and was redeveloped into a planned residential community, which explains those uniform brick high-rises and winding walkways. Roosevelt Island's earliest residents were looking for a quiet, simple slice of life within city limits. That appeal still holds today, even as new developments have risen and the Cornell Tech Campus looms over the southern part of the island.","Roosevelt Island has an undeniably sleepy, small-town vibe. There's only a single road bridge, no traffic lights, and little parking. The sounds of honking horns and sirens are rare.","While it's not at the center of things, Four Freedoms Park, which spans the southernmost tip of Roosevelt Island, is a popular destination for residents, students, and tourists.","Roosevelt Island has no shortage of quirks, but the ruins of the Smallpox Hospital are certainly unique. The remnants of this 1850s building were featured in the climax of ""Spider-Man.""",Roosevelt Island provides breathtaking vantages of the Midtown skyline and the East River — views unlike anything else in the city.,"With just a handful of restaurants and stores, Roosevelt Island offers precious little in the way of commercial enticements or nightlife.",,"No more than 800 feet wide and less than two miles long, Roosevelt Island is ideal for walking. Many pedestrian paths wind around the island.Spanning the southern tip of the island, Four Freedoms Park is a memorial to President Franklin Delano Roosevelt and the famous State of the Union address in which he championed universal human freedoms, including freedom of speech and worship, and freedom from want and fear.The Roosevelt Island Tramway runs back and forth from 59th Street and Second Avenue every seven to 15 minutes. MetroCards accepted!The new Cornell Tech campus has brought a wave of students to the island and dramatically changed its architectural aesthetic."
23,SoHo,https://streeteasy.com/neighborhoods/soho/,"SoHo is one of the busiest neighborhoods in the city and packed with just about everyone. Tourists, celebrities, street vendors, bargain-hunters, and luxury shoppers are all thrown together here.","SoHo has some of the best people-watching in Manhattan, as it is a mecca for the trendy, sophisticated downtown elite. The north-south running streets are often sites of fashion shoots as well as home to upscale European boutiques. The east-west running streets are busier and always clogged with vendors selling everything from iPhone cases to incense. One you hit Broadway, you could be in just about any mall in America with retail chains, tourists, teenagers, and disgruntled New Yorkers dominating the avenue. The energy in SoHo is fast-paced and all hustle and bustle; it is a quintessentially vibrant New York neighborhood, but certainly not for the faint-of-heart or those looking for some peace and quiet.","SoHo is hectic and helter-skelter, clogged with tourists and at the same time home to the city's most chic and creative people and places.","Balthazar, the iconic French bistro on the corner of Crosby and Spring, epitomizes SoHo's appeal to tourists and its effortlessly classy and casual vibe.","Most buildings in SoHo are former textile factories, which make for incredible open floor plan apartments today, but caveat emptor, walls are nice sometimes.","The density of top-notch restaurants, galleries, and shops in SoHo cannot be matched. Though geographically small, it's packed with trendy people and places.",Beware of weekends in SoHo. Streets tend to be jammed with international tourists and bridge-and-tunnel types alike.,"SoHo is one of Manhattan's most expensive neighborhoods, with residents paying millions for luxury new developments and old-school open-floor-plan lofts alike.","Named for its location “South of Houston” Street, SoHo is a contender for New York City’s most fashionable stomping ground. The crowds are not for the faint of heart.Tourists come to SoHo for the people-watching, the food, and above all, the shopping. Flagship retail chains dominate Broadway, eclectic boutiques are around every corner, and street vendors clog the busy, skinny streets.The gritty Bleecker Street Simon & Garfunkel sang of is a thing of the past; struggling artists have long since been replaced by residents with much more substantial bank accounts.Soho’s beautiful cobblestone streets are always teeming with tourists, shoppers, and photographers taking advantage of the photo-worthy cast-iron architecture.Most of the real estate options in SoHo are confined to walk-ups in historic cast-iron buildings and luxurious co-ops. Vacancy and turnover rates are famously low."
24,Stuyvesant Town,,,,,,,,,,
25,Theater District,,,,,,,,,,
