Entity Name;Trade Name;License Number;Facility Type;Address;Address Zip Code;Location;Telephone Number;Number of Spaces
QP W. 116TH STREET LLC;;1292805;Parking Garage;"40 116 STREET
NEW YORK, NY 10026";10026;40.8011606175,-73.9477081203;2128322066;65
IMPARK WATER LLC;IMPARK;1240254;Parking Garage;"55 WATER STREET
NEW YORK, NY 10004";10004;40.704027537,-74.0089984845;2129378660;300
SHERMAN PARKING, INC;;1103762;Parking Garage;"210 SHERMAN AVENUE
NEW YORK, NY 10034";10034;40.8655013119,-73.9207968944;2125673629;65
ULTRA-PARK LLC;;788455;Parking Garage;"424 END AVENUE
NEW YORK, NY 10024";10024;40.7836255682,-73.9665390006;2126869800;83
WEST 145TH GARAGE CORP;;1216898;Parking Garage;"330 145 STREET
NEW YORK, NY 10039";10039;40.8234759935,-73.9434328299;2127367171;23
INTERNATIONAL HOUSE;;1279111;Parking Garage;"524 527 RIVERSIDE DRIVE
NEW YORK, NY 10027";10027;40.8115495645,-73.9529003357;2123168400;35
74 HUDSON STREET PARKING CORP;;367908;Parking Lot;"74 HUDSON STREET
NEW YORK, NY 10013";10013;40.7183046707,-74.0088410012;2124760135;99
CENTRAL PARKING SYSTEM OF NEW YORK, INC;;1352778;Parking Garage;"390 GREENWICH STREET
NEW YORK, NY 10013";10013;40.7204405059,-74.0101038082;2125025490;99
B E W PARKING INC;RAPID PARK IND;429522;Parking Garage;"254 79 STREET
NEW YORK, NY 10024";10024;40.7836772366,-73.9796566657;2128661000;100
RIVER PARKING SYSTEMS CORP;;1193541;Parking Garage;"85 158 STREET
BRONX, NY 10451";10451;40.8263629178,-73.9258081112;7189939026;155
KINNEY PARKING SYSTEM, INC;CENTRAL PARKING SYSTEM;1137953;Parking Garage;"838 852 11 AVENUE
NEW YORK, NY 10019";10019;40.7676116472,-73.9918055002;2126296602;84
SEAMAN PARKING, CORP;;1210590;Parking Lot;"433 218 STREET
NEW YORK, NY 10034";10034;40.8711794669,-73.9139744804;2125699090;50
MARRIOTT HOTELS INC;;813195;Parking Garage;"1535 BROADWAY
NEW YORK, NY 10036";10036;40.7586827731,-73.9853902877;2127048914;220
W. 28TH GARAGE PARKING LLC;;1233094;Parking Garage;"241 243 WEST 28 STREET
NEW YORK, NY 10001";10001;40.7502590214,-73.9968863038;2126869800;240
MP UPTOWN LLC;;1306114;Parking Lot;"1295 5 AVENUE
NEW YORK, NY 10029";10029;40.7965241808,-73.9494468679;2124903460;180
355 E. 72ND GARAGE, CORP;;1184091;Parking Garage;"355 72 STREET
NEW YORK, NY 10021";10021;40.7682790956,-73.9570487963;2127367171;31
JUSLEA II INC.;;1348170;Parking Lot;"2724 HEATH AVENUE
BRONX, NY 10463";10463;40.8714703819,-73.9054312868;3479232609;22
GEM PARKING CORP;;1026542;Parking Garage;"260 188 STREET
BRONX, NY 10458";10458;40.8609127072,-73.8961985784;2127536116;139
304060 PARKING LLC;;1234399;Parking Garage;"40 9TH STREET
NEW YORK, NY 10003";10003;40.7317091736,-73.9931743313;2126747291;78
WEST 25TH LLC;;1135395;Parking Lot;"29 37 WEST 25 STREET
NEW YORK, NY 10010";10010;40.7391407821,-73.9828984564;2124903460;108
21ST GARAGE LLC;;1262417;Parking Lot;"447 451 WEST 35 STREET
NEW YORK, NY 10001";10001;40.7502590214,-73.9968863038;2126270012;65
SURF MANAGEMENT LLC;;1356588;Parking Lot;"1625 SURF AVENUE
BROOKLYN, NY 11224";11224;40.5754596788,-73.9837363029;9175840383;100
ALLIED ST GEORGE CORP;;735430;Parking Lot;"25 WALL STREET
STATEN ISLAND, NY 10301";10301;40.6440436211,-74.077886203;7182633800;171
PARKLEX GARAGE INC;;369823;Parking Garage;"345 PARK AVENUE
NEW YORK, NY 10022";10022;40.7580683023,-73.9731824026;2124072516;150
REX PARKING CORP;;469965;Parking Lot;"10 153 STREET
BRONX, NY 10451";10451;40.8264152427,-73.9297030622;2127571353;225
EXPRESSWAY PARKING LOT INC;;1171971;Parking Lot;"0 BRUCKNER EXPRESSWAY
BRONX, NY 10474";10474;40.8150662901,-73.8960008171;7188470456;143
401 EAST 86TH STREET PARKING LLC;;1196478;Parking Garage;"401 86 STREET
NEW YORK, NY 10028";10028;40.7768687459,-73.9492655788;2128767669;46
INDOOR PARKING CORP;;1138103;Parking Garage;"164 DYCKMAN STREET
NEW YORK, NY 10040";10040;40.8637329166,-73.926161408;2129429804;150
GRAHAM, EUNICE;C.G. PARKING;1224220;Parking Lot;"145 11 97 AVENUE
JAMAICA, NY 11435";11435;40.7011926491,-73.8097966558;7185236800;75
COVE CLUB CAR PARK, LLC;GGMC;1076840;Parking Garage;"2 END AVENUE
NEW YORK, NY 10280";10280;40.5636262119,-74.1788310442;2129966363;69
ATLANTIC PARKING MGMT LLC;;1360546;Parking Garage;"238 ATLANTIC AVE
BROOKLYN, NY 11201";11201;40.6892784902,-73.9911953862;2127957275;130
RIVERDALE PARKING LOT INC;;959232;Parking Lot;"5604 BROADWAY
BRONX, NY 10463";10463;40.8795390539,-73.904206078;7188840033;185
PYRAMID CAR PARK, INC;;974657;Parking Lot;"2520 FLATBUSH AVENUE
BROOKLYN, NY 11234";11234;40.6088507439,-73.9216919676;2122246111;99
QUIK PARK WEST 42ND ST. LLC;;1348882;Parking Lot;"600 42 STREET
NEW YORK, NY 10036";10036;40.7607668727,-73.9983693699;2128322066;194
166 MYRTLE AVE PARKING CORP;;887259;Parking Lot;"208 218 MYRTLE AVENUE
BROOKLYN, NY 11201";11201;40.6946782588,-73.9899208684;7189999999;130
DYCKMAN LOT INC;;1237359;Parking Lot;"131 DYCKMAN STREET
NEW YORK, NY 10040";10040;40.8625803915,-73.9253388314;2125672360;62
WEST 54 PARKING CORP;;1077575;Parking Lot;"129 133 WEST 54 STREET
NEW YORK, NY 10019";10019;40.7676116472,-73.9918055002;2127367171;44
KINNEY PARKING SYSTEM INC.;CENTRAL PARKING SYSTEM;1211705;Parking Garage;"85 LIVINGSTON STREET
BROOKLYN, NY 11201";11201;40.6914876212,-73.9909452512;7187974864;160
VFC INDUSTRIES LTD;;1277435;Parking Garage;"161 132 STREET
NEW YORK, NY 10027";10027;40.8131517766,-73.9445479892;2127223349;135
PINE PARKING CORP;;1141705;Parking Lot;"61 69 GRAND STREET
NEW YORK, NY 10013";10013;40.7212421888,-74.0088890002;8007985701;45
HENRY OPERATING CORP;;1057433;Parking Lot;"47 HENRY STREET
NEW YORK, NY 10002";10002;40.7130304574,-73.9947079131;2125755335;8
K.J.L. PROPERTY MANAGEMENT CORP.;;1334951;Parking Lot;"92 15 147 PLACE
JAMAICA, NY 11435";11435;40.7011926491,-73.8097966558;7182971049;50
PROPARK AMERICA NEW YORK, LLC.;;1213660;Parking Lot;"0 PECK
NEW YORK, NY 10038";10038;40.7354728363,-73.7557533156;9144786300;58
ABC PARKING CORP.;;921085;Parking Garage;"2070 WHITE PLAINS ROAD
BRONX, NY 10462";10462;40.8524618007,-73.8677355573;7188025611;95
CENTRAL PARKING SYSTEM OF NEW YORK, INC.;;975256;Parking Lot;"5510 AVENUE
BROOKLYN, NY 11234";11234;40.6163686675,-73.9277322497;2126296602;375
SEAPORT PARKING LLC;;1343881;Parking Garage;"80 BEEKMAN STREET
NEW YORK, NY 10038";10038;40.7099490382,-74.0050844092;2126869800;661
BRONX PARKING CO., LLC;;1307231;Parking Garage;"2355 WEBSTER AVENUE
BRONX, NY 10458";10458;40.8578838149,-73.8945774594;7187331820;65
CASTALDO, CHARLES;;691929;Parking Lot;"2804 JEROME AVENUE
BRONX, NY 10468";10468;40.8707790035,-73.8942747869;7187338398;10
CHAMPION PARKING 36 LLC;;1209498;Parking Garage;"30 PARK AVENUE
NEW YORK, NY 10016";10016;40.7481847532,-73.9806917415;2123085959;142
MCFARLANE, ALCIBIADES M;;1104541;Parking Lot;"115 TRUXTON STREET
BROOKLYN, NY 11233";11233;40.6787122441,-73.9052710583;7183851787;18
AMBER CAR PARK, LLC;GGMC;1021922;Parking Lot;"258 ASHLAND PLACE
BROOKLYN, NY 11217";11217;40.6875252333,-73.9783474331;2129966363;60
HORACE HARDING OPERATING, LLC;;1306191;Parking Lot;"99 49
CORONA, NY 11368";11368;40.7496782204,-73.8530406886;7185921247;16
CENTRAL PARKING SYSTEM OF NEW YORK, INC;;1108273;Parking Lot;"7179 SCHERMERHORN STREET
BROOKLYN, NY 11201";11201;40.6898880117,-73.9883099007;2126296602;150
VANGUARD CAR RENTAL USA INC.;NATIONAL;1176383;Parking Garage;"95 10 DITMARS BOULEVARD
EAST ELMHURST, NY 11369";11369;40.7634132737,-73.8723788987;7184295893;201
HUDSON RIVER PARKING CORP;;1023251;Parking Garage;"3720 HENRY HUDSON PARKWAY
BRONX, NY 10463";10463;40.8883407146,-73.9102166523;2127367171;123
JDS PARKING LLC;;1130760;Parking Garage;"561 10 AVENUE
NEW YORK, NY 10036";10036;40.7592194345,-73.995773372;2126869800;71
UNIQUE PARKING LLC;;469247;Parking Garage;"41 21 STREET
NEW YORK, NY 10010";10010;40.739236499,-73.9881201415;2126869800;175
102 BRADHURST AVE. CORP;;1262257;Parking Garage;"102 BRADHURST AVENUE
NEW YORK, NY 10039";10039;40.8246722316,-73.9418217565;2127367171;41
WEST PLAZA GARAGE LLC;;1135076;Parking Garage;"500 520 2 AVENUE
NEW YORK, NY 10016";10016;40.74524297,-73.9782329859;2126869800;169
OSA WEBSTER REALTY, INC;;1029227;Parking Lot;"3118 WEBSTER AVENUE
BRONX, NY 10467";10467;40.8713697746,-73.8764359718;7184052747;20
CHATHAM PARKING SYSTEMS INC;;368910;Parking Garage;"180 PARK ROW
NEW YORK, NY 10038";10038;40.7130224816,-74.0012083037;2125137143;130
SYLVAN MADISON GARAGE CORP;SYLVAN MADISON GARAGE;912083;Parking Garage;"60 90 STREET
NEW YORK, NY 10128";10128;40.7830529634,-73.9561625668;7185759440;268
THE GGG PARKING INC;;1128837;Parking Garage;"1565 JEROME AVENUE
BRONX, NY 10452";10452;40.8439584877,-73.9150748572;7189015222;69
RODRIGUEZ, JAVIER;J S PARKING LOT;1179976;Parking Lot;"2801 JEROME AVENUE
BRONX, NY 10468";10468;40.8707924528,-73.8943876052;7185636413;100
222 RIVERSIDE MANAGEMENT, LLC;;1277537;Parking Garage;"222 RIVERSIDE DRIVE
NEW YORK, NY 10025";10025;40.7949494987,-73.9761951314;2125810535;36
50-51 OPERATING CORP.;;1189161;Parking Lot;"627 50TH STREET
NEW YORK, NY 10019";10019;40.7661612302,-73.9952138141;2129299404;121
HAMILTON REALTY LLC;;1070439;Parking Garage;"1735 YORK AVENUE
NEW YORK, NY 10128";10128;40.7791822324,-73.9447922872;2122899673;92
1345 LEASEHOLD LLC;1345 GARAGE;1347111;Parking Garage;"1341 6 AVENUE
NEW YORK, NY 10019";10019;40.7625791713,-73.9785170823;2127526790;341
CENTRAL PARKING SYSTEM OF NEW YORK, INC;;1100022;Parking Garage;"425 429 EAST 52 STREET
NEW YORK, NY 10022";10022;40.758630224,-73.9680918222;2122239500;225
509 WEST 34TH STREET CAR PARK, LLC;;1254421;Garage - Parking Lot Combo;"509 525 WEST 34 STREET
NEW YORK, NY 10001";10001;40.7502590214,-73.9968863038;2129966363;200
E&Y PARKING CORP.;;1309622;Parking Garage;"615 JACKSON AVENUE
BRONX, NY 10455";10455;40.8150965819,-73.9084532649;7186844084;53
CHAMPION PARKING 39 LLC;;1227121;Parking Garage;"102 39 STREET
NEW YORK, NY 10018";10018;40.7529722187,-73.9856670202;2128529033;75
UNIVERSAL PARKING LLC;;369041;Parking Garage;"55 14 STREET
NEW YORK, NY 10011";10011;40.736762887,-73.9953565439;2126869800;129
IMPERIAL PARKING (U.S.), INC;;1343564;Parking Lot;"10 LAFAYETTE AVENUE
BROOKLYN, NY 11217";11217;40.6867627544,-73.9786643316;7188551730;124
CLARITY 47 PARKING, LLC;;1247355;Parking Garage;"145 47 STREET
NEW YORK, NY 10036";10036;40.7587697735,-73.9835605788;2126869800;261
BEST PARKING INC;;1113079;Parking Lot;"310 40 STREET
NEW YORK, NY 10018";10018;40.7560714308,-73.9911092161;2126951018;35
PRIOR PARKING, LLC;;1033066;Parking Garage;"40 50 WEST 61 STREET
NEW YORK, NY 10023";10023;40.7745361382,-73.9799433561;2126869800;205
200 EAST PARKING, CORP;;1181124;Parking Garage;"1081 3RD AVENUE
NEW YORK, NY 10021";10021;40.7678125682,-73.9619494872;2127367171;116
HAG OPERATING CORP;;1057432;Parking Lot;"312 8 AVENUE
NEW YORK, NY 10001";10001;40.746941546,-73.9972422228;2126858314;90
SA PARKING LOT, INC;;1251700;Parking Lot;"1156 TIFFANY STREET
BRONX, NY 10459";10459;40.8278090401,-73.8950940177;6463140332;26
SEELIG, MARTIN A SEELIG, HOWARD L;3300 COMPANY;1254915;Parking Garage;"3300 NETHERLAND AVENUE
BRONX, NY 10463";10463;40.8845271927,-73.9113083182;4254540885;32
KINNEY PARKING SYSTEM INC;;1202660;Parking Garage;"211 57 STREET
NEW YORK, NY 10022";10022;40.7601090016,-73.9671171146;2125025490;36
ATRIUM PARKING LLC;;469518;Parking Lot;"155 167 WEST 36 STREET
NEW YORK, NY 10018";10018;40.7568407746,-73.9966914998;2126869800;149
787 HOLDINGS, LLC.;;1350858;Parking Garage;"787 7 AVENUE
NEW YORK, NY 10019";10019;40.7620522989,-73.982589311;2125548879;86
PIONEER PARKING, LLC;;1194064;Parking Lot;"2382 CRESTON AVENUE
BRONX, NY 10468";10468;40.8599169672,-73.8996138046;2124903460;48
71ST. GARDEN GARAGE INC.;;735058;Parking Garage;"211 70 STREET
NEW YORK, NY 10021";10021;40.7680777565,-73.9607177993;2124072516;150
MANHATTAN PARKING EAST 48TH STREET CORP.;;1182190;Parking Garage;"141 151 EAST 48TH STREET
NEW YORK, NY 10017";10017;40.7524565274,-73.9729764809;2124903460;68
CENTRAL PARKING SYSTEM OF NEW YORK, INC.;;1231084;Parking Lot;"300 306 WEST 31 STREET
NEW YORK, NY 10001";10001;40.7502590214,-73.9968863038;2125025490;36
CENTRAL PARKING SYSTEM OF NEW YORK, INC;;1007928;Parking Garage;"257 259 WEST 47 STREET
NEW YORK, NY 10036";10036;40.7593468272,-73.9898605544;2122629778;120
CENTRAL PARKING SYSTEM OF NEW YORK, INC.;;1124929;Parking Lot;"227 CHERRY STREET
NEW YORK, NY 10002";10002;40.7111096964,-73.9902644481;2126296602;90
15 WEST 72ND ST CORP;;905127;Parking Garage;"15 72 STREET
NEW YORK, NY 10023";10023;40.7767202412,-73.9771214331;2128661000;176
29 PARK, LLC;;1025798;Parking Lot;"217 219 WEST 29 STREET
NEW YORK, NY 10001";10001;40.7502590214,-73.9968863038;2127143571;36
PARK GATE PARKING INC;;1010038;Parking Garage;"750 COLUMBUS AVENUE
NEW YORK, NY 10025";10025;40.7932228004,-73.9672558704;2127367171;80
215 EAST 95TH PARKING, LLC;;1199399;Garage - Parking Lot Combo;"207 239 EAST 95 STREET
NEW YORK, NY 10128";10128;40.7817700006,-73.9506281491;2126869800;212
J & A PARKING INC;;1155791;Parking Garage;"376 184 STREET
BRONX, NY 10458";10458;40.8571503438,-73.8959394068;7188791782;147
118 E. 86TH STREET PARKING LLC;;1308596;Parking Lot;"118 86 STREET
NEW YORK, NY 10028";10028;40.7798012715,-73.9563751305;2128312700;184
KINNEY PARKING SYSTEM INC;CENTRAL PARKING SYSTEM;1199948;Parking Garage;"416 36 STREET
NEW YORK, NY 10018";10018;40.75485046,-73.9958847086;2125025490;28
PROVO PARKING LLC;;1155671;Parking Lot;"2468 TIEBOUT AVENUE
BRONX, NY 10458";10458;40.8610231638,-73.8952143876;2124903460;54
ALMAR GARAGE INC;;367318;Parking Garage;"700 PARK AVENUE
NEW YORK, NY 10021";10021;40.7693997599,-73.965196423;2127511080;51
CENTRAL PARKING SYSTEM OF NEW YORK INC;;971313;Parking Garage;"135 47 STREET
NEW YORK, NY 10017";10017;40.7544897855,-73.9733642483;2126296602;149
CHAMPION 55 LLC;;1063776;Parking Garage;"662 LEXINGTON AVENUE
NEW YORK, NY 10022";10022;40.7599838582,-73.969809945;2123085959;67
3000 JEROME PARKING CORP.;;1277259;Parking Garage;"3000 JEROME AVENUE
BRONX, NY 10468";10468;40.8735737521,-73.8892490979;7183290617;100
HEIGHTS 183 PARKING LLC;;1250226;Parking Garage;"2479 AMSTERDAM AVENUE
NEW YORK, NY 10033";10033;40.8497182103,-73.929763135;2126869800;140
STANDARD PARKING CORPORATION;;1280337;Parking Garage;"71 153 STREET
BRONX, NY 10451";10451;40.8252030024,-73.9288452947;7182926515;3000
K & F PARKING CORP;;1348464;Parking Lot;"1184 RIVER AVENUE
BRONX, NY 10452";10452;40.8351177552,-73.9216039968;6464047585;88
RAPID E 77TH ST CORP;;927031;Parking Garage;"155 76 STREET
NEW YORK, NY 10021";10021;40.7728941958,-73.9599635317;2128661000;70
HPM PARKING INC;;1116428;Parking Lot;"676 HUNTS POINT AVENUE
BRONX, NY 10474";10474;40.8135790803,-73.8847984722;2125347384;100
2010 PARKING INC;;1341282;Parking Garage;"2010 WESTCHESTER AVENUE
BRONX, NY 10462";10462;40.8335706551,-73.8573361609;7188929379;145
PATER REALTY CO. LLC;;1192326;Parking Lot;"48 64 WEST 30 STREET
NEW YORK, NY 10001";10001;40.7502590214,-73.9968863038;5168830233;100
GEMINI GARAGE CORP;50 SUTTON PLACE SO GARAGE;469165;Parking Garage;"50 SUTTON PLACE
NEW YORK, NY 10022";10022;40.755730065,-73.961850945;2129562280;76
KINNEY WEST END AVENUE INC;;914278;Parking Garage;"711 END AVENUE
NEW YORK, NY 10025";10025;40.7968501276,-73.9637258106;2128894444;125
THE HERTZ CORP;;369606;Parking Garage;"327 64 STREET
NEW YORK, NY 10065";10065;40.7631764514,-73.9607267925;2124865914;120
ARRIAGA, LUIS;;929555;Parking Lot;"1537 CASTLE HILL AVENUE
BRONX, NY 10462";10462;40.8374507508,-73.8524490009;2125809170;8
LAFAYETTE STREET PARKING, LLC;;1187631;Parking Lot;"410 LAFAYETTE STREET
NEW YORK, NY 10003";10003;40.7286449038,-73.9924713213;2129299404;53
LONG ISLAND JEWISH MEDICAL CENTER;;1247739;Parking Garage;"271 17 76 AVENUE
NEW HYDE PARK, NY 11040";11040;40.7452999618,-73.6796319323;7184707764;921
QUIK PARK WEST 12TH ST. LLC;;1247513;Parking Garage;"175 179 WEST 12 STREET
NEW YORK, NY 10011";10011;40.7447152667,-74.0046000003;2128322066;43
STANDARD PARKING CORPORATION;;1185215;Parking Garage;"90 15 QUEENS BOULEVARD
REGO PARK, NY 11373";11373;40.7387104026,-73.8783511552;7185923379;1903
GOTHAM PARKING LLC;;1361126;Parking Lot;"13 GOLD ST
NEW YORK, NY 10038";10038;40.7076660768,-74.0069799015;2129799815;9
SUPREME PARKING CORP;;1249767;Parking Garage;"230 30 STREET
NEW YORK, NY 10016";10016;40.7428779458,-73.97925387;7186834976;25
SANFORD TOWER GARAGE, INC.;;1066286;Parking Lot;"133 47 SANFORD AVENUE
FLUSHING, NY 11355";11355;40.7512997969,-73.8214785479;7183598058;113
COURTLANDT PARKING SYSTEMS, INC;;1248458;Parking Lot;"1673 WALTON AVENUE
BRONX, NY 10453";10453;40.8454751505,-73.9117705849;7182997363;32
ARCHIVES GARAGE CORP;ARCHIVES GARAGE;921582;Parking Garage;"666 GREENWICH STREET
NEW YORK, NY 10014";10014;40.7330212951,-74.0075032413;2129727470;97
92ND ST GARAGE CORP;GGMC;883452;Parking Garage;"1623 1641 3 AVENUE
NEW YORK, NY 10128";10128;40.7817700006,-73.9506281491;2129966363;301
QUIK PARK RIVERSIDE GARAGE LLC;;1320334;Parking Garage;"779 789 RIVERSIDE DRIVE
NEW YORK, NY 10032";10032;40.8369303491,-73.949178522;2128322066;90
BRIDGE PARKING CORP;;738230;Parking Lot;"321 60 STREET
NEW YORK, NY 10022";10022;40.7607364947,-73.9625983135;2129562280;44
79 STREET REALTY LLC;;1126345;Parking Garage;"350 79 STREET
NEW YORK, NY 10021";10021;40.6282370107,-74.0277511885;2125358670;83
MP JAY LLC;;1280325;Parking Garage;"100 JAY STREET
BROOKLYN, NY 11201";11201;40.7017915683,-73.9867704838;2124903460;424
SANDS PARKING LLC;;1276463;Parking Lot;"66 SANDS STREET
BROOKLYN, NY 11201";11201;40.6999580874,-73.9878342232;7186436440;100
78 PARKING MANAGEMENT, LLC;;1262206;Parking Garage;"404 79 STREET
NEW YORK, NY 10075";10075;40.7721966514,-73.952336118;7187880066;73
QUIK PARK FG LLC;;1313248;Parking Garage;"500 62 STREET
NEW YORK, NY 10065";10065;40.7604065396,-73.9580468128;2128322066;120
CENTRAL PARKING SYSTEM OF NEW YORK, INC.;;1201685;Parking Garage;"530 76 STREET
NEW YORK, NY 10021";10021;40.7691151905,-73.9511325511;2125025490;23
CENTRAL PARKING SYSTEM OF NEW YORK INC;;965355;Parking Garage;"132 146 WEST 51 STREET
NEW YORK, NY 10019";10019;40.7676116472,-73.9918055002;2126296602;209
80 EAST END GARAGE LLC.;;1192275;Parking Garage;"80 END AVENUE
NEW YORK, NY 10028";10028;40.5634927289,-74.1787705065;2125175709;35
DOUBLE GARAGE CORP;DOUBLE GARAGE;921899;Parking Garage;"1533 YORK AVENUE
NEW YORK, NY 10028";10028;40.7730510073,-73.9492154705;2127373279;114
G.F. PARKING, INC.;;1336402;Parking Lot;"537 539 WEST 211 STREET
NEW YORK, NY 10034";10034;40.8706171093,-73.9242232588;2019869816;22
HOMESTEAD EQUITIES INC;;364407;Parking Garage;"341 PACIFIC STREET
BROOKLYN, NY 11217";11217;40.6870265756,-73.9870537885;9178462923;25
P & P TRADING COMPANY LLC;;1315472;Parking Lot;"28 24 JACKSON AVENUE
LONG ISLND CITY, NY 11101";11101;40.7457024498,-73.9386690293;7187841924;45
ZOOM CAR PARK INC;;975588;Parking Garage;"3130 GRAND
BRONX, NY 10458";10458;40.8626013287,-73.884790015;2122216111;95
CENTRAL PARKING SYSTEM OF NEW YORK INC;;961990;Parking Garage;"332 344 WEST 44 STREET
NEW YORK, NY 10036";10036;40.7593468272,-73.9898605544;2126296602;273
BLVD PARKING CORP.;;1215675;Parking Lot;"1129 SOUTHERN BOULEVARD
BRONX, NY 10459";10459;40.8270243518,-73.8919794566;6462605628;38
GRACIE PUBLIC   PARKING CORP;;901963;Parking Garage;"401 89 STREET
NEW YORK, NY 10128";10128;40.7786088175,-73.9474977654;2127367171;114
GLOBAL PARKING LLC;;368502;Parking Garage;"143 40 STREET
NEW YORK, NY 10018";10018;40.7545429599,-73.9874006839;2126869800;150
58 EAST LLC;;1185862;Parking Lot;"106 CENTRAL PARK
NEW YORK, NY 10019";10019;40.7659013972,-73.9767527111;2125643199;57
OLIANTHA GARAGE CORP.;OLIANTHA GARAGE;928832;Parking Garage;"102 107 STREET
NEW YORK, NY 10025";10025;40.8001655665,-73.9629571111;2128730135;188
MANHATTAN PARKING 110,LLC;;1241570;Parking Garage;"543 110 STREET
NEW YORK, NY 10025";10025;40.8035065609,-73.9650300041;2124903480;190
